Show Number, Air Date, Category, Value, Question, Answer
3276,1998-11-30,"BANDS","None","This band's last surviving brother lives & records in St. Charles, Illinois, far from the ocean","The Beach Boys"
4693,2005-01-19,"CLASSIC AMERICAN SONGS","None","The introductory verse to this 1908 song begins, ""Katie Casey was baseball mad""","\""Take Me Out To The Ball Game\"""
5880,2010-03-19,"1940s MUSIC HISTORY","None","While writing for Billboard, legendary producer Jerry Wexler coined this phrase to replace ""race music""","rhythm & blues"
2778,1996-10-02,"ACTOR-DIRECTORS","None","This 1990 winner is the most recent to win the Best Director Oscar for his directorial debut","Kevin Costner"
5759,2009-10-01,"GEOGRAPHIC NAMES","None","For 200 years, much of this large current country was known as ""Rupert's Land"", in honor of a cousin of Charles II","Canada"
5332,2007-11-13,"THE MOVIES","None","The title of this award-winning 1963 film refers to the number of films its director felt he had made to that point","8½"
6230,2011-10-21,"CHILDREN'S LITERATURE","None","In the original 1883 work, this title character kills a talking cricket, has his feet burned off & nearly starves","Pinocchio"
5760,2009-10-02,"EMMY WINNERS","None","These 2 men with 16 total career Emmys appeared in series with Mary Tyler Moore, one playing a TV host, one a TV producer","Ed Asner & Carl Reiner"
4695,2005-01-21,"FICTIONAL CHILDREN","None","This boy introduced in a 1902 book flew away from his mother when he was 7 days old","Peter Pan"
4586,2004-07-12,"NAMES IN THE BIBLE","None","Daniel means ""God is my judge"", Ezekiel, ""God strengthens""; & this name in Genesis 32, ""he strives with God""","Israel"
4798,2005-06-15,"20th CENTURY ATHLETES","None","In 1938, at age 25, she became the youngest person made a Knight First Class of the Order of St. Olav","Sonja Henie"
2341,1994-11-07,"U.S. LANDMARKS","None","James Hoban, who designed & built this, had to rebuild it after a fire in 1814","the White House"
3749,2000-12-14,"BIOGRAPHIES","None","Carl Sandburg co-wrote a 1932 biography of this woman, ""Wife and Widow""","Mary Todd Lincoln"
3251,1998-10-26,"ARCHAEOLOGY","None","In 1997 aerial surveys found the Pleasure Dome he built in the 13th century","Kublai Khan"
3780,2001-01-26,"POTENT POTABLES","None","Named for the club where it was first made, this drink was created to honor Samuel Tilden's election as governor","Manhattan"
4618,2004-10-06,"2004","None","On Monday, December 13, 3 people designated these will meet in Cheyenne, Wyoming to help decide the world's future","electors"
5181,2007-03-05,"STATE CAPITALS","None","Located in the Central Time Zone, it's the largest city by population to have no MLB, NFL, NBA or NHL team","Austin, Texas"
5014,2006-06-01,"PLAYWRIGHTS","None","In 2005 Broadway's Virginia Theatre was renamed to honor this late author, the first African-American so honored","August Wilson"
4348,2003-06-25,"TELEVISION","None","In Apple's I-Movie program, the effect seen here that's done with photos is named for this TV filmmaker","Ken Burns"
2835,1996-12-20,"REPUBLICANS","None","2 of the 3 Republicans elected vice president twice","Spiro Agnew, George (H.W.) Bush & Richard Nixon"
4849,2005-10-13,"HOBBIES","None","This word comes from the Greek words for ""light"" & ""writing""","photography"
3804,2001-03-01,"RECENT INNOVATIONS","None","Known by a 3-letter abbrev., it was first proposed in 1989 by software developer Tim Berners-Lee","World Wide Web (www)"
4530,2004-04-23,"CLASSICAL COMPOSERS","None","The first movement of his 1868 first symphony is subtitled ""Dreams of a Winter Journey""","Pyotr Ilyich Tchaikovsky"
5132,2006-12-26,"THE STOCK MARKET","None","In 2006 this Milwaukee-based co. announced its new stock symbol, ""HOG"", at a gathering in Sturgis, S.D.","Harley-Davidson"
3788,2001-02-07,"SPACE EXPLORATION","None","In October 1998 this man went into space as the oldest U.S. astronaut ever","John Glenn"
4726,2005-03-07,"SPORTS PHRASE ORIGINS","None","In 1939 an Illinois sports official wrote ""A little"" of this alliterative phrase may ""contribute to sanity""","March Madness"
6196,2011-07-18,"WORLD GEOGRAPHY","None","Of the 4 largest Asian countries in area, it's the only one that borders the other 3","China"
4642,2004-11-09,"THEATRICAL PREMIERES","None","The ""Playboy Riots"" took place in this world capital in 1907 following a theatrical premiere","Dublin"
4988,2006-04-26,"LITERARY OBJECTS","None","In literature from the 1200s to today, it has been depicted as a type of dish, a talismanic stone & a woman","the Holy Grail"
5862,2010-02-23,"MONARCHS","None","In 2001 Bulgaria elected as prime minister its former child monarch, the only person now living to have held this royal title","czar"
1191,1989-11-06,"U.S. STATES","None","With over 35,000 miles, this state has the longest highway system in the U.S.","Texas"
3596,2000-04-03,"TECHNOLOGY","None","In 1933 Marconi set up one of the first microwave radio systems, between Castel Gandolfo & this sovereign state","Vatican City"
3854,2001-05-10,"POLITICAL PARTIES","None","In 1850 it was the name of the party of the British prime minister & of the U.S. president","the Whig Party"
2124,1993-11-25,"20th CENTURY LEADERS","None","At age 13 in 1926, he was accepted as a novice at the abbey of Kykkos; he later taught there","Archbishop Makarios"
3519,1999-12-16,"CONTROVERSIAL FOOD & DRINK","None","Pope Clement VIII said of this beverage around 1600, ""We shall cheat Satan"" by baptizing it as a Christian beverage","Coffee"
3621,2000-05-08,"U.S. STATES","None","Before Congress named it for a person, its residents wanted to call it the territory of Columbia","Washington"
5110,2006-11-24,"WORD ORIGINS","None","Meaning to ascribe predetermined characteristics, this word comes from a printing process using metal plates","stereotype"
3193,1998-06-17,"TELEVISION PERSONALITIES","None","He was ordained by Pittsburgh Presbytery in 1962 with a charge to work with children through the media","Fred Rogers (host of \""Mister Rogers' Neighborhood\"")"
5591,2008-12-22,"ALMA MATERS","None","Former governor & onetime presidential hopeful Mitt Romney earned his B.A. in 1971 from this university","BYU (Brigham Young University)"
1429,1990-11-15,"SPACE EXPLORATION","None","Next pair in the sequence:  Gumdrop, Spider;  Charlie Brown, Snoopy;...","the Columbia & the Eagle"
3402,1999-05-25,"ROMAN EMPERORS","None","The 2 Roman emperors during the time that Jesus Christ walked the Earth","Augustus Caesar & Tiberius"
5342,2007-11-27,"CURRENT AMERICAN BUSINESS","None","This co.'s name is a variation on a word coined by Milton Sirotta & used in the book ""Mathematics and the Imagination""","Google, Inc."
1103,1989-05-24,"WORLD CITIES","None","Linked by the world's 5th longest suspension bridge, it lies in both Europe & Asia","Istanbul"
5757,2009-09-29,"MUSIC HALLS OF FAME","None","2 of the 4 Country Music Hall of Fame acts who are also in the Rock & Roll Hall of Fame as performers","(2 of) Johnny Cash, Elvis Presley, Brenda Lee & the Everly Brothers"
5758,2009-09-30,"HISTORIC HEADLINES","None","On Sept. 30, 2008 Daily Variety reprised this 5-word headline from Oct. 30, 1929","Wall Street Lays An Egg"
5435,2008-04-04,"SHOW BUSINESS","None","The wings on this, created in 1948, represent the ""muse of art""; the atom represents the ""electron of science""","the Emmy Award"
3846,2001-04-30,"HISTORIC QUOTATIONS","None","On July 13, 1859 he told Horace Greeley, ""I have fifteen wives; I know no one who has more""","Brigham Young"
4628,2004-10-20,"BIBLICAL WEIGHTS AND MEASURES","None","As described in the Bible, the total volume of this was 450,000 cubic cubits","Noah's Ark"
4511,2004-03-29,"U.S. GOVERNMENT","None","In 1924 he succeeded William J. Burns who had resigned; he remained in his position for the next 48 years","J. Edgar Hoover"
4084,2002-05-09,"PULITZER PRIZE-WINNING BOOKS","None","One of its title studies is Sen. Edmund Ross' 1868 vote against convicting President Andrew Johnson","Profiles in Courage"
2832,1996-12-17,"ASIA","None","It's the largest landlocked country in the world","Mongolia"
3731,2000-11-20,"BRITAIN'S NATIONAL PORTRAIT GALLERY","None","In April 2000 the portrait of this living woman was moved from the Contemporary section to History","Margaret Thatcher"
5788,2009-11-11,"THE WORLD AFTER WWII","None","This peninsula was divided when Japan surrendered to the U.S. below the 38th parallel & to the Soviet Union north of it","the Korean Peninsula"
5327,2007-11-06,"HISTORIC NAMES","None","He is quoted as saying, ""Another such victory over the Romans, and we are undone""","Pyrrhus"
3340,1999-02-26,"THE TITANIC","None","This man whose invention was used to call for help held a ticket for the voyage but changed his plans","Guglielmo Marconi"
5408,2008-02-27,"WORD ORIGINS","None","It's from the Latin for ""hemp"" because it was often made of hemp; add a letter & it means to take a survey","canvas"
2685,1996-04-12,"ARTISTS","None","At a May 1995 auction, a painting by her sold for $3.2 million, barely topping one by her husband","Frida Kahlo"
2886,1997-03-03,"SCOTTISH INVENTORS","None","In 1815 he was appointed Surveyor General of Roads in Bristol, England","Sir John MacAdam"
4239,2003-01-23,"HISTORIC NAMES","None","In 2002 Christie's auctioned off his own account of his 48-day journey & his coconut cup with the date April 1789 on it","Captain William Bligh (after he got bounced off the Bounty)"
3272,1998-11-24,"1998 DISCOVERIES","None","Discovered by a student, the largest known one of these fills as many pages as a good-sized novel","The World's Largest Prime Number"
5468,2008-05-21,"WORLD HISTORY","None","One of history's largest refugee migrations, about 15 million people, took place 1947-1951 between these 2 countries","Pakistan & India"
5200,2007-03-30,"'60s OSCAR-WINNING FILMS","None","Although 216 minutes long, this 1962 film had no women in credited speaking roles","Lawrence of Arabia"
6260,2011-12-02,"WORD ORIGINS","None","This word for a friend comes from the Latin for ""with whom you would eat bread""","companion"
3396,1999-05-17,"BRITISH AUTHORS","None","In 1954 she became the first recipient of the Grand Master Award from the Mystery Writers of America","Agatha Christie"
3969,2001-11-29,"ARTISTS","None","Christopher Buckley called his book on the life and work of this artist ""Blossoms and Bones""","Georgia O'Keeffe"
1908,1992-12-16,"U.S. LAKES","None","Wizard Island sits in this lake in what was once Mount Mazama","Crater Lake"
5946,2010-06-21,"AFTER THE PRESIDENCY","None","One of the 2 presidents to return to elected jobs in U.S. federal government after their final terms","(1 of) John Quincy Adams or Andrew Johnson"
3660,2000-06-30,"MOVIE DIRECTORS","None","Last name of the director whose production company is called 1492 Pictures","(Chris) Columbus"
5346,2007-12-03,"AUTHORS","None","Her first published writings appeared in the Shanghai Mercury when she was 7","Pearl Buck"
5001,2006-05-15,"MYTHOLOGY","None","The name of this monster is from the Greek for ""she-goat""","the Chimera"
1526,1991-04-01,"NATIONAL ANTHEMS","None","This country's national anthem is ""William of Nassau""","the Netherlands"
5460,2008-05-09,"ANCIENT TIMES","None","Plutarch's chapter on Romulus quotes this much later man as saying, ""I love treason but hate a traitor""","Julius Caesar"
5051,2006-07-24,"OSCAR-NOMINATED MOVIES","None","One of the 2 Best Picture nominees in which CBS newsman & ""60 Minutes"" producer Don Hewitt is a character","(1 of) The Insider & Good Night and Good Luck"
3103,1998-02-11,"THE ACADEMY AWARDS","None","1 of the 2 Best Picture winners in the 1990s with one-word titles","Braveheart or Unforgiven"
4344,2003-06-19,"FRUIT","None","From Greek for ""finger"", the Arabs claim it has as many culinary & pharmaceutical uses as days in a year","the date"
6161,2011-05-30,"SCIENCE TERMS","None","This term for the lowest level of the ocean that the sun's rays can reach shares its name with a classic 1960s TV show","the twilight zone"
5816,2009-12-21,"20th CENTURY WEDDINGS","None","Her 1956 wedding attracted more than 1,500 news reporters to a country with just 20,000 citizens at the time","Grace Kelly"
1210,1989-12-01,"LANGUAGES","None","To have taken the 1st modern IQ test in 1905 you had to understand this language","French (the Binet-Simon test)"
4732,2005-03-15,"ARTISTIC MASTERPIECES","None","""Shouldn't the shining dots of the sky be as accessible as the black dots on the map of France?"" the artist wrote of this work","The Starry Night (by Vincent Van Gogh)"
3736,2000-11-27,"WORD ORIGINS","None","Used in the '40s for a sudden loss of power in a jet engine, Herbert Freudenberger applied it in 1974 to spent people","Burnout"
3018,1997-10-15,"20th CENTURY NOVELISTS","None","After success writing in English, he & his son Dmitri translated some of his earlier Russian novels","Vladimir Nabokov"
3285,1998-12-11,"FAMOUS WOMEN","None","This author was a contributing editor of Asia magazine from 1941 to 1946","Pearl S. Buck"
